FOLIO,FECHA,HORA,MINUTO,TIPO,VIOLENCIA,LATITUD,LONGITUD,DISTRITO,CUADRANTE,DIA,MES,ESTACION,AÑO
485271SO,2015-01-12,99,99,ROBO DE VEHICULO,NO,28.685624,-106.13881,Diana,28,12,1,Invierno,2015
66082,2015-01-13,99,99,ROBO A CASA HABITACION,NO,28.656005,-106.070937,Villa,26,13,1,Invierno,2015
78141,2015-01-13,99,99,ROBO A CASA HABITACION,NO,28.601205,-106.037992,Morelos,55,13,1,Invierno,2015
78163,2015-01-13,99,99,ROBO A CASA HABITACION,NO,28.63093,-106.0621,Zapata,70,13,1,Invierno,2015
63624X,2015-01-13,99,99,ROBO A CASA HABITACION,NO,28.77622,-106.168435,Colón,3,13,1,Invierno,2015
131795C,2015-01-13,99,99,ROBO A CASA HABITACION,NO,28.652283,-106.096254,Diana,31,13,1,Invierno,2015
62332,2015-01-13,99,99,ROBO A CASA HABITACION,NO,28.754142,-106.153953,Colón,3,13,1,Invierno,2015
150300C,2015-01-13,99,99,ROBO DE VEHICULO,SI,28.628876,-106.070774,Ángel,41,13,1,Invierno,2015
145273C,2015-01-13,99,99,ROBO A NEGOCIO,SI,28.60491,-106.013565,Morelos,56,13,1,Invierno,2015
81153,2015-01-14,99,99,ROBO DE VEHICULO,NO,28.658186,-106.069148,Villa,26,14,1,Invierno,2015
150325C,2015-01-14,99,99,ROBO A NEGOCIO,NO,28.638253,-106.077591,Ángel,37,14,1,Invierno,2015
80501,2015-01-14,99,99,ROBO A NEGOCIO,NO,28.69737,-106.114412,Villa,17,14,1,Invierno,2015
80602,2015-01-14,99,99,ROBO A CASA HABITACION,NO,28.690836,-106.092223,Villa,18,14,1,Invierno,2015
73861,2015-01-14,99,99,ROBO A NEGOCIO,NO,28.593766,-106.032366,Morelos,59,14,1,Invierno,2015
74174,2015-01-14,99,99,ROBO A CASA HABITACION,NO,28.684603,-106.082783,Villa,24,14,1,Invierno,2015
80002,2015-01-14,99,99,ROBO A CASA HABITACION,NO,28.672902,-106.11227,Villa,22,14,1,Invierno,2015
53640,2015-01-14,99,99,ROBO A CASA HABITACION,SI,28.726186,-106.149223,Colón,12,14,1,Invierno,2015
65519,2015-01-14,99,99,ROBO A CASA HABITACION,NO,28.736818,-106.15025,Colón,6,14,1,Invierno,2015
80151X,2015-01-14,99,99,ROBO A NEGOCIO,NO,28.655556,-106.114338,Diana,29,14,1,Invierno,2015
64012,2015-01-14,99,99,ROBO A NEGOCIO,SI,28.699113,-106.114277,Villa,17,14,1,Invierno,2015
56297,2015-01-15,99,99,ROBO A CASA HABITACION,NO,28.65653,-106.136153,Diana,29,15,1,Invierno,2015
81803,2015-01-15,99,99,ROBO A CASA HABITACION,NO,28.679373,-106.125397,Villa,19,15,1,Invierno,2015
63115,2015-01-15,99,99,ROBO A NEGOCIO,SI,28.727176,-106.117247,Colón,13,15,1,Invierno,2015
